title,content,author,views,language,date
Young|Cute|Petite,http://24azd6ky6updmb3w7va75hpzsvkvphurojb7suoitdccforjdttqsiid.onion/,Anonymous,75,text,"29 Nov 2020, 09:22:51"
Wanna Fuck me,http://i4j35bfojvirnmh6h4qd4e3bkyrcgvr47inwcra7csmqafschehy3zid.onion/,Anonymous,67,text,"29 Nov 2020, 09:20:47"
Buy IPHONE 12 PRO,http://6f5ecfuoc7erxdpvfrwmlguw7qiwqjv4uejyngiys3qfiq47hognupad.onion/,Anonymous,67,text,"29 Nov 2020, 09:18:31"
P3do Princess,http://5aimx2gaph7ib7te3vrdffxijkepjoweitauy7wj5a7ptiwnj3sai6qd.onion/,Anonymous,68,text,"29 Nov 2020, 09:15:20"
HACKED BITCOIN WALLETS,"Bitcoin Private Key Shop: 
 
http://5vi3hjxcfwnmxoa2t4gqcrwoninztffdbfgmyzkgw5oxf255cjcziyyd.onion/
 
6 keys in stock. price is 5% of wallet balance",Anonymous,96,text,"29 Nov 2020, 08:23:01"
Gift Card,"MONEY NOW
                                                         
                                      https://bit.ly/2ZNI2ah 
 
League of Legends Gift Card USD 25 DIGITAL",Anonymous,103,text,"29 Nov 2020, 07:41:48"
%u0422%u042B %u042F! %u041F%u0418%u0417%u0414%u0410%u041D%u0418%u041D%u0410.,"%u0423 %u0442%u0435%u0431%u044F %u043F%u043E%u0445%u043E%u0434%u0443 %u0445%u043E%u0440%u043E%u0448%u043E %u043C%u043E%u0437%u0433 %u043F%u0435%u0440%u0435%u0433%u0440%u0435%u043B%u043E. %u0414%u0430%u0439 %u0441%u0435%u0440%u043E%u043C%u0443 %u0432%u0435%u0449%u0435%u0441%u0442%u0432%u0443 %u043E%u0442%u0434%u043E%u0445%u043D%u0443%u0442%u044C. %u041D%u0435 %u0434%u0430%u0448%u044C - %u043F%u0438%u0437%u0434%u0430%u043D%u0438%u043D%u0430 %u0440%u0435%u0430%u043B%u044C%u043D%u0430%u044F %u043D%u0430%u0447%u043D%u0435%u0442%u0441%u044F (%u0445%u043E%u0442%u044F %u043C%u043E%u0436%u0435%u0442 %u0443%u0436%u0435 %u043D%u0430%u0447%u0430%u043B%u0430%u0441%u044C) - %u0443%u0432%u0435%u0437%u0443%u0442 %u0432 %u0434%u043E%u043C, %u0433%u0434%u0435 %u043C%u043D%u043E%u0433%u043E %u043B%u044E%u0434%u0435%u0439 %u043F%u0435%u0440%u0435%u0433%u0440%u0435%u0442%u044B%u0445. %u041E%u0442 %u0442%u0443%u0434%u0430 %u0443%u0436%u0435 %u0445%u0443%u0439 %u0432%u0435%u0440%u043D%u0435%u0448%u044C%u0441%u044F, %u0430 %u0435%u0441%u043B%u0438 %u0438 %u0432%u0435%u0440%u043D%u0435%u0448%u044C%u0441%u044F, %u0442%u043E %u0441%u043E%u0432%u0441%u0435%u043C %u0434%u0440%u0443%u0433%u0438%u043C %u0447%u0435%u043B%u043E%u0432%u0435%u043A. %u0422%u043E%u0447%u043D%u0435%u0435 %u043D%u0435 %u0447%u0435%u043B%u043E%u0432%u0435%u043A%u043E%u043C, %u0430 %u043E%u0432%u043E%u0449%u043E%u043C. %u041C%u0430%u0442%u0435%u0440%u0438%u0435%u0439 %u0435%u0431%u0430%u043D%u0438%u043D%u044B.",Anonymous,139,text,"29 Nov 2020, 06:31:08"
INVEST YOUR MONEY,"8-10% - every month return (low risk)
20-30% - every month return (middle risk)
60-80% - every month return (high risk)
100% - satisfied investors
$300 - minimum capital for investing",Anonymous,137,text,"29 Nov 2020, 06:25:32"
a,a,Anonymous,166,text,"29 Nov 2020, 05:14:24"
111,11,Anonymous,318,text,"28 Nov 2020, 21:16:16"
%u0422%u042B %u042F! WAKE UP SMITH!,"%u0412%u0421%u0401 %u041F%u041E %u0424%u0410%u041A%u0422%u0423 %u0415%u0421%u041B%u0418 %u0423%u0411%u0420%u0410%u0422%u042C %u042D%u0424%u0418%u0420 xD
 
%u043F%u043E %u0441%u0443%u0442%u0438 %u044D%u0442%u043E %u0442%u0435%u043E%u0440%u0438%u044F, %u043E %u043A%u043E%u0442%u043E%u0440%u043E%u0439 %u043D%u0438%u043A%u0442%u043E %u043D%u0435 %u043F%u0438%u0437%u0434%u0438%u0442, %u0430 %u043F%u0438%u0437%u0434%u044F%u0442 %u043E %u043F%u0438%u0437%u0434%u0435%u0436%u0435 %u0438%u0437 %u0437%u0430 %u043A%u043E%u0442%u043E%u0440%u043E%u0433%u043E %u0434%u0430%u0436%u0435 %u043D%u0435 %u043F%u0440%u0438%u0445%u043E%u0434%u044F%u0442 %u043A %u043C%u044B%u0441%u043B%u0438 %u043E %u043D%u0435%u0439. %u0435%u0441%u043B%u0438 %u043F%u043E%u0441%u043C%u043E%u0442%u0440%u0435%u0442%u044C %u043D%u0430 %u0442%u0430%u0431%u043B%u0438%u0446%u0443 %u043C%u0435%u043D%u0434%u0435%u043B%u0435%u0435%u0432%u0430, %u0438 %u043E%u0441%u043E%u0437%u043D%u0430%u0442%u044C %u0447%u0442%u043E %u0432%u0441%u0435 %u0430%u0442%u043E%u043C%u044B %u0441%u0438%u043D%u0442%u0435%u0437%u0438%u0440%u0443%u044E%u0442%u0441%u044F %u0437%u0432%u0451%u0437%u0434%u0430%u043C%u0438 %u0438%u0437 %u043E%u0434%u043D%u043E%u0433%u043E + %u043E%u043D %u0433%u043E%u0432%u043E%u0440%u0438%u043B %u043F%u0440%u043E %u044D%u0444%u0438%u0440, %u0442%u043E %u043C%u043E%u0436%u043D%u043E %u043F%u0440%u0435%u0434%u0441%u0442%u0430%u0432%u0438%u0442%u044C %u0447%u0442%u043E %u0432%u0441%u0451 %u0441%u0442%u0440%u0443%u043A%u0442%u0443%u0440%u0438%u0440%u043E%u0432%u0430%u043D%u043D%u0430%u044F %u043E%u0434%u043D%u043E%u043E%u0431%u0440%u0430%u0437%u043D%u0430%u044F %u043C%u0430%u0442%u0435%u0440%u0438%u044F, %u043A%u043E%u0442%u043E%u0440%u0430%u044F %u0438%u043C%u0435%u0435%u0442 %u043A%u0430%u043A%u0438%u0435 %u0442%u043E %u0441%u0432%u043E%u0439%u0441%u0442%u0432%u0430 %u043F%u043E %u043A%u043E%u0442%u043E%uFFFD",Anonymous,341,text,"28 Nov 2020, 19:37:28"
tZiO5sTp,"2ED42BE9F                                 _ x
                                                                                
                                                                                
    -:-.:;-   :;=;-         -:::.        .-:--:+;- .-;+;-         :+=+-.        
   elpJelzOH&&0LmwS=    -oXKVzELX7V9;   ;9IxJEAe+Ka9GFDOia:  --=&mNMS0Pg&u.",Anonymous,454,text,"28 Nov 2020, 14:34:38"
M5FblIHs,"2ED42BE91                                 _ x
           =eFx;                                                 ;+             
            +e=                                                 ;U+o            
     .;=eou===+:        ::-       .::.       -;+u=+;-        .;=&5+Mouuu+:.     
    :a+am9K4Xq0=       ;kip=     -95M9-   .o+59aPkF8Rlk&-   -a8lsX31IN3EfFa:",Anonymous,439,text,"28 Nov 2020, 14:32:15"
a,aa,Anonymous,22,text,"30 Nov 2020, 12:36:19"
aadhar data & software,"Anyone who is interested in Indian Leaked Aadhaar Data can pm or mail me - uhdnaspm@secmail.pro
Data includes the personal, financial and biometric information of 80K Indian Reputable people.
All information is trusted and fresh leaked till Oct.2020",Anonymous,198,text,"30 Nov 2020, 06:10:11"
Leaked data & dump,"LEAKED DATA AVAILABLE :-
 
bigbasket.com sql data dump
Haldiram's india data dump
Truecaller India Leaked Data",Anonymous,176,text,"30 Nov 2020, 06:06:03"
Weapons For Sale,"http://wqwbyusu5xenbbi2s4lhbxp72ffskf4lg3bqwzmrid2aivhy27ml4fqd.onion/?page_id=450
 
Handguns, SMGs, Assault Rifles - Full Auto / Semi Auto
Escrow = Payment released only AFTER your order arrives safely to you.
Proof of arrivals into: UK, Germany, Denmark, Australia, Switzerland, Finland and many more......",Anonymous,170,text,"30 Nov 2020, 05:17:57"
buttmuncher!!,butty butty butty,Anonymous,156,text,"30 Nov 2020, 05:16:13"
